student_id,gender,age,grade_level,attendance_percentage,behavior_score,intervention_type,at_risk
1254,Male,17,9,83,3,Study Plan,0
3870,Male,18,11,81,4,Tutoring,1
6440,Female,17,10,88,2,Mentorship,0
6735,Female,17,10,95,1,Tutoring,0
8098,Female,18,10,79,8,Counseling,0
6598,Female,18,9,80,7,Counseling,0
1622,Male,18,9,76,7,Counseling,1
4984,Male,17,12,95,7,Mentorship,0
5361,Female,16,11,96,4,Study Plan,1
5082,Female,17,10,75,6,Counseling,0
8761,Male,16,12,84,2,Mentorship,0
6845,Female,16,12,84,6,Tutoring,0
8472,Male,18,9,84,2,Study Plan,0
5527,Female,16,11,73,5,Study Plan,0
9191,Female,16,11,76,8,Counseling,0
4941,Female,17,11,73,10,Mentorship,0
3324,Female,17,10,96,6,Mentorship,1
2675,Female,16,11,71,3,Tutoring,0
3914,Female,17,12,96,2,Counseling,1
3193,Male,17,11,97,2,Counseling,0
9274,Female,16,12,98,10,Tutoring,1
7068,Male,16,10,93,2,Tutoring,1
3702,Female,18,11,78,10,Tutoring,1
3110,Female,16,10,72,8,Tutoring,0
7550,Female,18,11,93,5,Mentorship,0
1146,Female,17,9,73,9,Counseling,1
4232,Male,17,11,70,4,Study Plan,1
5034,Female,17,9,79,3,Study Plan,0
1192,Male,16,11,93,1,Tutoring,0
4072,Female,16,9,77,9,Study Plan,0
4555,Female,18,10,76,9,Counseling,1
5020,Male,18,11,84,6,Mentorship,1
5652,Female,16,12,71,10,Tutoring,1
6960,Female,17,12,88,6,Tutoring,0
7903,Male,17,11,92,9,Tutoring,0
2953,Female,18,12,72,10,Tutoring,1
9456,Male,17,10,80,3,Counseling,0
5808,Male,18,10,98,3,Study Plan,1
1768,Female,16,10,99,7,Tutoring,0
9770,Male,17,11,83,6,Tutoring,1
6167,Female,17,10,79,7,Mentorship,1
8991,Male,16,12,74,1,Study Plan,1
9615,Male,18,11,99,1,Study Plan,1
5876,Male,18,9,90,5,Study Plan,0
6264,Female,18,12,95,9,Counseling,0
3683,Female,16,9,98,4,Counseling,1
3855,Male,16,11,99,4,Study Plan,0
7998,Female,17,11,84,2,Mentorship,1
8603,Male,17,10,94,10,Mentorship,0
6585,Male,17,10,84,4,Study Plan,0
2405,Male,16,11,88,1,Study Plan,0
3709,Female,17,12,71,2,Tutoring,0
5632,Male,18,9,72,4,Counseling,0
1459,Male,18,11,89,1,Counseling,0
7210,Female,17,10,84,2,Tutoring,1
8793,Male,17,10,84,5,Study Plan,1
6784,Male,18,10,72,4,Study Plan,0
5664,Male,17,11,90,9,Counseling,1
7338,Female,16,11,74,10,Tutoring,1
4330,Female,17,9,70,1,Study Plan,1
5623,Female,16,10,74,8,Tutoring,1
2577,Male,17,12,86,1,Tutoring,1
1514,Female,18,10,75,5,Mentorship,0
9717,Male,18,12,70,9,Counseling,0
6146,Female,18,10,92,3,Mentorship,1
9802,Male,17,11,72,8,Counseling,0
3817,Female,17,12,82,3,Mentorship,1
3441,Female,18,9,72,2,Study Plan,0
9057,Male,17,12,80,1,Counseling,0
7245,Female,17,12,92,1,Counseling,0
5598,Male,18,12,98,5,Study Plan,1
3636,Female,17,12,100,1,Tutoring,0
8516,Male,16,9,97,1,Counseling,0
2063,Female,18,12,87,4,Study Plan,0
6348,Female,17,10,70,7,Tutoring,0
9885,Female,18,12,82,7,Study Plan,0
2201,Male,18,10,72,9,Counseling,0
4950,Male,17,10,75,6,Counseling,1
4546,Female,16,9,92,2,Study Plan,0
7059,Female,17,11,75,2,Tutoring,1
3839,Female,18,11,92,9,Mentorship,1
7786,Female,18,10,75,3,Mentorship,1
4820,Female,16,12,85,8,Mentorship,0
5028,Female,17,11,88,4,Tutoring,0
1412,Male,17,9,99,6,Tutoring,1
2715,Male,18,10,100,8,Tutoring,0
2579,Male,17,12,100,4,Tutoring,0
3474,Female,17,9,89,2,Study Plan,1
4793,Male,17,11,72,5,Counseling,0
1305,Male,18,11,93,9,Mentorship,1
5238,Male,18,12,84,2,Study Plan,0
9095,Female,16,11,99,5,Study Plan,1
5753,Female,18,12,94,6,Counseling,0
8554,Female,16,9,89,2,Counseling,1
1440,Male,18,12,76,9,Tutoring,0
8095,Female,16,9,71,3,Counseling,1
7326,Male,16,12,81,2,Tutoring,0
3171,Female,18,10,86,10,Mentorship,1
8545,Male,17,11,81,5,Tutoring,0
2091,Male,17,11,88,5,Mentorship,0
2598,Male,16,10,71,1,Tutoring,1
2951,Female,18,11,90,3,Tutoring,0
8169,Female,18,9,76,2,Mentorship,0
6397,Male,18,11,94,2,Counseling,1
3708,Female,17,12,99,2,Tutoring,0
4953,Male,17,10,93,4,Mentorship,1
2250,Female,17,9,86,2,Counseling,1
8401,Male,16,12,91,4,Mentorship,1
8286,Female,16,9,99,9,Counseling,1
2578,Female,18,9,89,8,Tutoring,1
4301,Female,16,12,84,4,Mentorship,1
5176,Male,17,10,98,9,Mentorship,1
6847,Female,17,12,79,4,Counseling,0
6329,Male,18,9,99,1,Study Plan,0
1320,Female,18,11,87,5,Mentorship,0
3984,Male,17,10,89,2,Mentorship,1
6099,Female,16,9,88,8,Counseling,1
7125,Female,16,9,88,9,Tutoring,1
1595,Male,16,11,70,6,Counseling,0
2800,Male,17,10,76,4,Mentorship,0
9894,Male,18,12,100,3,Study Plan,1
7620,Female,17,10,71,9,Mentorship,1
9014,Male,18,12,71,5,Study Plan,0
1834,Male,17,12,73,2,Mentorship,0
8669,Female,17,12,97,7,Study Plan,0
9285,Male,16,11,79,3,Study Plan,0
5064,Female,18,12,93,9,Mentorship,0
7917,Female,16,12,79,7,Mentorship,1
2977,Male,18,11,90,6,Tutoring,1
8859,Male,18,9,80,10,Study Plan,0
8857,Female,18,10,77,8,Mentorship,1
3183,Male,16,12,97,7,Tutoring,1
6370,Male,17,11,73,10,Tutoring,1
8237,Male,17,10,83,9,Study Plan,1
8896,Male,16,9,88,3,Counseling,1
6810,Male,16,10,92,8,Mentorship,1
9959,Male,17,10,87,5,Counseling,0
4504,Female,17,11,74,8,Mentorship,0
7731,Male,16,10,85,1,Study Plan,0
4375,Male,17,10,70,1,Study Plan,0
5128,Female,18,11,92,10,Mentorship,0
9415,Female,17,10,83,5,Counseling,0
4563,Male,16,11,98,10,Study Plan,0
2698,Male,16,9,78,7,Tutoring,0
6040,Male,17,12,97,4,Counseling,0
5485,Male,17,9,81,10,Study Plan,1
3005,Male,16,11,84,3,Study Plan,1
3108,Male,17,12,81,1,Study Plan,0
8155,Female,16,10,72,10,Mentorship,0
3366,Male,16,9,76,10,Mentorship,1
5035,Female,17,10,88,3,Tutoring,0
4940,Female,17,10,98,1,Study Plan,0
9071,Male,18,12,73,8,Study Plan,0
1433,Male,17,9,99,3,Counseling,0
3263,Male,17,11,87,3,Study Plan,1
9736,Female,18,12,94,10,Mentorship,1
3166,Male,17,10,77,1,Tutoring,1
3710,Male,17,11,97,4,Mentorship,1
1797,Male,18,9,96,5,Tutoring,0
4077,Male,18,11,81,5,Study Plan,1
9323,Female,16,12,80,5,Counseling,0
1290,Female,17,12,71,7,Counseling,0
5643,Female,18,10,84,2,Mentorship,1
5992,Female,17,10,73,1,Study Plan,1
2537,Male,16,11,72,1,Tutoring,1
1097,Female,17,10,90,7,Tutoring,0
1123,Female,16,12,79,9,Mentorship,0
4920,Female,17,9,88,8,Tutoring,1
5755,Male,16,10,84,7,Mentorship,1
8450,Male,18,10,76,7,Study Plan,1
1788,Male,17,10,86,10,Tutoring,1
4837,Male,16,12,73,8,Study Plan,0
6514,Male,16,9,88,7,Counseling,0
2542,Male,18,11,75,7,Mentorship,1
6145,Female,16,10,78,8,Counseling,0
7408,Female,18,12,71,1,Mentorship,0
2667,Female,18,9,100,2,Mentorship,1
4155,Male,16,12,73,1,Mentorship,0
2717,Male,16,12,86,5,Tutoring,0
4007,Female,16,12,85,5,Mentorship,0
5018,Male,16,10,83,2,Mentorship,0
4856,Female,17,12,100,10,Mentorship,0
6725,Female,17,12,80,8,Counseling,1
8052,Female,17,10,84,3,Study Plan,0
8644,Female,16,12,83,3,Counseling,0
4586,Female,18,12,95,6,Study Plan,1
7170,Female,18,11,74,2,Tutoring,1
5322,Female,18,11,78,5,Mentorship,1
7420,Female,18,12,88,2,Mentorship,1
7615,Female,16,9,76,7,Counseling,0
8738,Female,17,11,79,4,Mentorship,0
7045,Male,18,11,82,3,Study Plan,0
3709,Male,16,11,84,10,Study Plan,0
8189,Male,17,10,90,10,Study Plan,1
8293,Male,17,12,76,9,Mentorship,0
2373,Male,17,10,96,6,Counseling,1
4352,Female,17,11,72,4,Study Plan,1
9966,Male,17,12,87,1,Study Plan,1
7563,Female,18,12,88,2,Counseling,1
9581,Male,16,11,79,5,Mentorship,0
3742,Female,17,9,73,9,Mentorship,1
4798,Female,18,11,95,10,Counseling,0
2424,Male,18,9,73,9,Tutoring,0
7930,Female,16,9,82,2,Mentorship,1
3945,Male,18,9,84,3,Counseling,1
4610,Female,16,12,93,8,Mentorship,1
7171,Female,16,9,90,6,Counseling,0
7858,Male,18,11,72,4,Mentorship,1
2441,Male,17,12,73,5,Study Plan,1
2464,Female,17,9,94,6,Mentorship,1
2200,Female,16,12,87,10,Study Plan,1
2554,Male,16,12,97,5,Counseling,1
6966,Male,18,12,92,5,Tutoring,0
7953,Female,16,12,71,4,Counseling,0
5057,Male,17,11,73,7,Mentorship,1
2716,Male,16,11,76,8,Tutoring,1
4720,Male,18,12,76,4,Mentorship,1
6159,Male,17,10,87,2,Counseling,1
6038,Male,17,12,91,7,Study Plan,1
7241,Female,16,12,85,5,Study Plan,1
7015,Male,17,11,96,5,Counseling,1
9687,Male,18,12,84,1,Study Plan,1
8533,Male,18,11,77,6,Counseling,0
8304,Male,16,12,83,7,Mentorship,0
5346,Male,16,10,70,7,Counseling,0
3967,Female,18,12,74,7,Counseling,1
5385,Female,18,9,78,5,Study Plan,0
9826,Female,16,10,83,4,Study Plan,0
2345,Female,17,11,93,4,Mentorship,0
5633,Male,18,12,85,10,Counseling,1
9326,Female,18,11,98,9,Study Plan,1
9290,Male,17,11,91,5,Tutoring,0
3646,Female,16,10,71,9,Counseling,1
5289,Male,17,11,83,5,Tutoring,0
1391,Male,18,12,70,6,Tutoring,0
3683,Female,18,9,95,9,Tutoring,0
9720,Female,17,11,83,8,Counseling,1
4855,Male,18,10,100,6,Tutoring,1
3076,Male,18,9,78,5,Mentorship,0
5002,Male,16,12,94,5,Mentorship,0
8753,Female,17,10,90,6,Mentorship,0
2238,Male,17,12,89,5,Study Plan,0
1555,Female,17,11,79,4,Study Plan,1
4883,Male,17,10,90,8,Study Plan,0
4377,Female,17,11,88,2,Mentorship,0
7482,Female,17,9,96,3,Counseling,1
7423,Male,18,9,82,2,Mentorship,0
4606,Female,18,11,71,3,Tutoring,0
1901,Female,17,10,88,10,Counseling,1
6291,Male,18,12,92,2,Tutoring,1
5525,Female,18,9,79,9,Study Plan,1
